,sepal_len,sepal_wid,index
0,5.1,3.5,0
1,4.9,3.0,1
2,4.7,3.2,2
3,4.6,3.1,3
4,5.0,3.6,4
5,5.4,3.9,5
6,4.6,3.4,6
7,5.0,3.4,7
8,4.4,2.9,8
9,4.9,3.1,9
10,5.4,3.7,10
11,4.8,3.4,11
12,4.8,3.0,12
13,4.3,3.0,13
14,5.8,4.0,14
15,5.7,4.4,15
16,5.4,3.9,16
17,5.1,3.5,17
18,5.7,3.8,18
19,5.1,3.8,19
20,5.4,3.4,20
21,5.1,3.7,21
22,4.6,3.6,22
23,5.1,3.3,23
24,4.8,3.4,24
25,5.0,3.0,25
26,5.0,3.4,26
27,5.2,3.5,27
28,5.2,3.4,28
29,4.7,3.2,29
30,4.8,3.1,30
31,5.4,3.4,31
32,5.2,4.1,32
33,5.5,4.2,33
34,4.9,3.1,34
35,5.0,3.2,35
36,5.5,3.5,36
37,4.9,3.6,37
38,4.4,3.0,38
39,5.1,3.4,39
40,5.0,3.5,40
41,4.5,2.3,41
42,4.4,3.2,42
43,5.0,3.5,43
44,5.1,3.8,44
45,4.8,3.0,45
46,5.1,3.8,46
47,4.6,3.2,47
48,5.3,3.7,48
49,5.0,3.3,49
50,7.0,3.2,50
51,6.4,3.2,51
52,6.9,3.1,52
53,5.5,2.3,53
54,6.5,2.8,54
55,5.7,2.8,55
56,6.3,3.3,56
57,4.9,2.4,57
58,6.6,2.9,58
59,5.2,2.7,59
60,5.0,2.0,60
61,5.9,3.0,61
62,6.0,2.2,62
63,6.1,2.9,63
64,5.6,2.9,64
65,6.7,3.1,65
66,5.6,3.0,66
67,5.8,2.7,67
68,6.2,2.2,68
69,5.6,2.5,69
70,5.9,3.2,70
71,6.1,2.8,71
72,6.3,2.5,72
73,6.1,2.8,73
74,6.4,2.9,74
75,6.6,3.0,75
76,6.8,2.8,76
77,6.7,3.0,77
78,6.0,2.9,78
79,5.7,2.6,79
80,5.5,2.4,80
81,5.5,2.4,81
82,5.8,2.7,82
83,6.0,2.7,83
84,5.4,3.0,84
85,6.0,3.4,85
86,6.7,3.1,86
87,6.3,2.3,87
88,5.6,3.0,88
89,5.5,2.5,89
90,5.5,2.6,90
91,6.1,3.0,91
92,5.8,2.6,92
93,5.0,2.3,93
94,5.6,2.7,94
95,5.7,3.0,95
96,5.7,2.9,96
97,6.2,2.9,97
98,5.1,2.5,98
99,5.7,2.8,99
100,6.3,3.3,100
101,5.8,2.7,101
102,7.1,3.0,102
103,6.3,2.9,103
104,6.5,3.0,104
105,7.6,3.0,105
106,4.9,2.5,106
107,7.3,2.9,107
108,6.7,2.5,108
109,7.2,3.6,109
110,6.5,3.2,110
111,6.4,2.7,111
112,6.8,3.0,112
113,5.7,2.5,113
114,5.8,2.8,114
115,6.4,3.2,115
116,6.5,3.0,116
117,7.7,3.8,117
118,7.7,2.6,118
119,6.0,2.2,119
120,6.9,3.2,120
121,5.6,2.8,121
122,7.7,2.8,122
123,6.3,2.7,123
124,6.7,3.3,124
125,7.2,3.2,125
126,6.2,2.8,126
127,6.1,3.0,127
128,6.4,2.8,128
129,7.2,3.0,129
130,7.4,2.8,130
131,7.9,3.8,131
132,6.4,2.8,132
133,6.3,2.8,133
134,6.1,2.6,134
135,7.7,3.0,135
136,6.3,3.4,136
137,6.4,3.1,137
138,6.0,3.0,138
139,6.9,3.1,139
140,6.7,3.1,140
141,6.9,3.1,141
142,5.8,2.7,142
143,6.8,3.2,143
144,6.7,3.3,144
145,6.7,3.0,145
146,6.3,2.5,146
147,6.5,3.0,147
148,6.2,3.4,148
149,5.9,3.0,149
